tconst,originalTitle,startYear,rated,director,writer,actors,language,country,genres,runtimeMinutes,awards,production,imdbRating,imdbVotes,metascore,rottenTomatoes,distributor,productionMethod,productionBudget,boxOfficeDomestic,boxOfficeInternational,boxOfficeWorldwide,RL.Theatrical,RL.Premiere,RL.Digital,RL.Physical,RL.TV
tt7286456,Joker,2019,R,Todd Phillips,"Todd Phillips, Scott Silver, Bob Kane","Joaquin Phoenix, Robert De Niro, Zazie Beetz","English, German","United States, Canada, Australia","Crime, Drama, Thriller",122,Won 2 Oscars. 120 wins & 246 nominations total,N/A,8.3,1663329,59,68%,Warner Bros.,Live Action,55000000,335451311,743300000,1078751311,2019-10-01,2019-08-31,2019-12-17,2020-01-07,
tt4154796,Avengers: Endgame,2019,PG-13,"Anthony Russo, Joe Russo","Christopher Markus, Stephen McFeely, Stan Lee","Robert Downey Jr., Chris Evans, Mark Ruffalo","English, Japanese, Xhosa, German",United States,"Action,Adventure,Sci-Fi",181,Nominated for 1 Oscar. 70 wins & 132 nominations total,N/A,8.4,1414421,78,94%,Walt Disney,Animation/Live Action,400000000,858373000,1859130922,2717503922,2019-04-24,2019-04-22,2019-07-30,2019-08-13,2019-12-25
